IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
108.139.210.71,443,192.168.20.102,59154,UDP,31,29600,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
185.15.58.224,443,192.168.20.102,57218,TCP,133,107206,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.102,43361,8.8.4.4,443,UDP,193,59928,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.102,58709,UDP,233,164938,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,44929,8.8.4.4,443,UDP,44,27394,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.93,443,192.168.20.102,48654,UDP,41,36757,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,46593,UDP,29,27830,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.16,443,192.168.20.102,57436,UDP,33,31761,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,46198,UDP,31,30049,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,48528,45.60.1.60,443,TCP,780,459000,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
104.18.87.42,443,192.168.20.102,56170,TCP,36,18193,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.26.5.39,443,192.168.20.102,47016,TCP,25,8485,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,40400,45.60.242.146,443,TCP,55,21398,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
104.18.87.42,443,192.168.20.102,56174,TCP,26,8885,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
108.139.229.88,443,192.168.20.102,39052,TCP,129,80966,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.229.54,443,192.168.20.102,51522,TCP,117,69401,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,40719,216.58.204.155,443,UDP,49,27166,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,60634,216.58.204.155,443,TCP,21,9727,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,35278,45.60.1.60,443,TCP,35,13011,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
108.139.229.6,443,192.168.20.102,50046,TCP,53,24043,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.214.47.252,443,192.168.20.102,56720,TCP,37,11522,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,42730,52.0.218.127,443,TCP,47,12951,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,58012,45.60.242.146,443,TCP,78,36091,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
104.17.71.206,443,192.168.20.102,44700,TCP,36,13042,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
