IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,38789,8.8.4.4,443,UDP,43,27259,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.93,443,192.168.20.102,57762,TCP,21,9139,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.93,443,192.168.20.102,57766,TCP,47,20512,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.93,443,192.168.20.102,38339,UDP,53,40814,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,34316,8.8.4.4,853,TCP,25,8074,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,46800,192.178.202.95,443,UDP,46,37319,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
108.139.210.16,443,192.168.20.102,58400,UDP,29,27435,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,47850,45.60.1.60,443,TCP,809,457565,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
108.139.229.76,443,192.168.20.102,54518,TCP,99,78880,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.229.54,443,192.168.20.102,59354,TCP,41,14486,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
142.250.180.155,443,192.168.20.102,35609,UDP,57,26863,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.155,443,192.168.20.102,39856,TCP,19,9597,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,47864,45.60.1.60,443,TCP,33,12045,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
108.139.229.13,443,192.168.20.102,34920,TCP,56,24156,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,42338,54.172.18.33,443,TCP,38,11554,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON
192.168.20.102,37984,54.85.240.191,443,TCP,45,12846,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON-2011L
192.168.20.102,45383,8.8.4.4,443,UDP,50,21135,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,58206,45.60.242.146,443,TCP,47,20441,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
104.17.72.206,443,192.168.20.102,45104,TCP,29,10827,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,42170,45.60.242.146,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
192.168.20.102,42178,45.60.242.146,443,TCP,62,33036,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
192.168.20.102,50748,8.8.4.4,853,TCP,43,15022,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,48368,52.25.160.34,443,TCP,16,5956,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48380,52.25.160.34,443,TCP,52,19662,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
