IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,40416,192.178.202.95,443,TCP,6,525,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,48226,8.8.4.4,853,TCP,24,8525,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,37076,216.239.34.223,443,TCP,25,6169,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,48997,8.8.4.4,443,UDP,206,62577,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
151.101.130.137,443,192.168.20.101,45696,TCP,47,11307,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
108.139.210.16,443,192.168.20.101,39688,UDP,114,92438,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.16,443,192.168.20.101,37482,UDP,43,35443,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.16,443,192.168.20.101,40656,TCP,17,4784,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
104.16.123.96,443,192.168.20.101,42002,TCP,522,375404,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.123.96,443,192.168.20.101,42004,TCP,64,35609,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.30.78,443,192.168.20.101,45012,TCP,36,12687,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.94.41,443,192.168.20.101,37820,TCP,907,789265,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.124.96,443,192.168.20.101,47492,TCP,38,13769,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
172.66.0.201,443,192.168.20.101,38964,TCP,139,119451,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.174.226,443,192.168.20.101,41896,UDP,21,14053,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.16.174.226,443,192.168.20.101,49920,TCP,139,122304,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,40190,84.17.59.115,443,TCP,136,121123,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,BUNNYCDN_MIL
163.171.241.15,443,192.168.20.101,45142,TCP,133,119232,N/A | N/A,N/A | N/A,N/A | N/A,CDNetworks,IP Privato/Riservato
192.168.20.101,42996,95.101.235.199,443,TCP,137,118573,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
167.82.49.229,443,192.168.20.101,43353,UDP,150,128738,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
104.17.230.6,443,192.168.20.101,38442,TCP,27,8728,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
103.21.244.8,443,192.168.20.101,42598,TCP,27,8495,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARE_103_21_244_0,IP Privato/Riservato
104.18.30.78,443,192.168.20.101,45032,TCP,39,14548,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,46866,8.8.4.4,443,UDP,120,45470,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.51,443,192.168.20.101,49945,UDP,205,128983,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,45395,8.8.4.4,443,UDP,42,30953,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.75,443,192.168.20.101,46160,UDP,34,30257,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.51,443,192.168.20.101,48263,UDP,47,35907,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.62,443,192.168.20.101,40931,UDP,40,35710,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.51,443,192.168.20.101,44666,TCP,17,4720,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.62,443,192.168.20.101,40416,TCP,25,9712,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,45510,3.166.81.41,443,TCP,83,56109,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.29,443,192.168.20.101,40888,TCP,185,155385,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
142.251.209.46,443,192.168.20.101,39757,UDP,34,24708,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.46,443,192.168.20.101,37660,TCP,21,9611,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
13.35.198.11,443,192.168.20.101,40792,TCP,48,18237,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,45609,216.58.204.228,443,UDP,45,30146,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,49040,216.58.204.228,443,TCP,24,8853,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.132,443,192.168.20.101,38920,UDP,40,33014,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.132,443,192.168.20.101,48732,TCP,155,120768,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,46913,8.8.4.4,443,UDP,64,32421,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.71,443,192.168.20.101,40446,UDP,143,108526,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.71,443,192.168.20.101,38694,TCP,25,9709,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.71,443,192.168.20.101,46947,UDP,53,38409,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
185.15.58.224,443,192.168.20.101,45638,TCP,46,14016,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.101,40879,216.239.34.223,443,UDP,57,44844,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,49626,216.239.34.223,443,UDP,47,38881,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47032,8.8.4.4,443,UDP,132,42974,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,48280,8.8.4.4,853,TCP,19,3258,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,42119,216.58.204.138,443,UDP,46,35083,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
108.139.210.51,443,192.168.20.101,37949,UDP,130,100109,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,38528,8.8.4.4,443,UDP,40,26103,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.93,443,192.168.20.101,45531,UDP,33,32270,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,39239,3.166.81.94,443,UDP,34,30428,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,40532,3.166.81.94,443,TCP,71,37440,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.51,443,192.168.20.101,43728,UDP,43,34794,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.51,443,192.168.20.101,44690,TCP,17,4720,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,40172,45.60.1.60,443,TCP,818,459049,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
108.139.229.8,443,192.168.20.101,46404,TCP,97,78743,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.229.88,443,192.168.20.101,45906,TCP,38,14352,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
142.250.180.187,443,192.168.20.101,43981,UDP,48,26296,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,40178,45.60.1.60,443,TCP,37,12373,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,INCAPSULA-NET
108.139.229.98,443,192.168.20.101,47398,TCP,51,23228,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,41166,98.90.245.24,443,TCP,37,11523,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.101,41148,35.174.210.7,443,TCP,47,12952,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,48300,8.8.4.4,853,TCP,23,3578,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.46,443,192.168.20.101,38213,UDP,54,43637,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
