IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
18.65.82.37,443,192.168.20.101,41208,TCP,35,13936,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.101,37768,52.37.245.190,443,TCP,119,79003,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,44841,8.8.4.4,443,UDP,137,47104,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.101,44537,UDP,126,92830,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.16,443,192.168.20.101,40850,TCP,17,4720,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.16,443,192.168.20.101,41088,UDP,31,29598,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,45674,3.166.81.41,443,TCP,82,59873,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.20,443,192.168.20.101,45582,TCP,181,155086,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
13.35.198.11,443,192.168.20.101,40954,TCP,50,18391,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
142.251.209.36,443,192.168.20.101,46419,UDP,46,31454,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.36,443,192.168.20.101,42090,TCP,26,10178,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,42401,216.58.204.228,443,UDP,171,136642,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,48670,8.8.4.4,443,UDP,59,36583,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.101,42552,UDP,143,101729,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.16,443,192.168.20.101,38036,UDP,31,29590,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,39906,23.35.136.123,443,TCP,114,46097,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,39908,23.35.136.123,443,TCP,35,10318,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.101,48440,8.8.4.4,853,TCP,25,10290,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
100.20.28.135,443,192.168.20.101,47876,TCP,16,6018,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
100.20.28.135,443,192.168.20.101,47878,TCP,39,16331,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
100.20.28.135,443,192.168.20.101,47880,TCP,16,5987,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
100.20.28.135,443,192.168.20.101,47882,TCP,16,6020,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
100.20.28.135,443,192.168.20.101,47884,TCP,16,6019,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
100.20.28.135,443,192.168.20.101,47886,TCP,22,6656,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.101,39924,23.35.136.123,443,TCP,37,25742,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
