IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,43700,3.227.29.203,443,TCP,94,26851,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,44286,34.195.46.121,443,TCP,45,15789,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,54604,99.83.231.3,443,TCP,39,11921,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
192.168.20.102,45642,192.178.203.97,443,UDP,973,1035549,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,41584,34.199.221.237,443,TCP,82,36406,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,54620,99.83.231.3,443,TCP,43,15487,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
108.128.48.93,443,192.168.20.102,46466,TCP,37,10728,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,57592,192.178.203.97,443,TCP,23,10405,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
18.65.64.114,443,192.168.20.102,51498,TCP,37,12490,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,35812,63.140.62.139,443,TCP,37,11756,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AS-CLOUD-ENGINEERING
150.171.27.10,443,192.168.20.102,49970,TCP,31,12534,N/A | N/A,N/A | N/A,N/A | N/A,MSFT,IP Privato/Riservato
192.168.20.102,41586,34.199.221.237,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
18.65.64.115,443,192.168.20.102,51986,TCP,33,10882,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,60798,34.232.134.151,443,TCP,24,9965,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,41836,216.58.204.132,443,UDP,35,28722,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.140.98,443,192.168.20.102,52914,UDP,37,30563,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,37250,216.58.204.134,443,UDP,48,31533,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,33936,216.58.204.134,443,TCP,22,9879,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,58680,192.178.202.97,443,UDP,32,18728,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,37308,23.216.150.226,443,TCP,67,17928,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
