IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
173.194.6.41,443,192.168.20.102,39766,TCP,4,252,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.182.169,443,192.168.20.102,42786,TCP,4,252,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,43788,74.125.111.106,443,TCP,4,252,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,39766,74.125.111.102,443,TCP,4,252,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,46880,74.125.99.138,443,TCP,4,252,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.182.168,443,192.168.20.102,39494,TCP,4,252,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,37268,74.125.99.170,443,TCP,4,252,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,44994,74.125.99.166,443,TCP,4,252,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.143.110,443,192.168.20.102,49546,TCP,4,337,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,48584,216.58.209.46,443,UDP,6,7752,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,44899,216.239.38.223,443,UDP,62,46993,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,41974,8.8.4.4,853,TCP,104,30810,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
173.194.6.41,443,192.168.20.102,39365,UDP,12604,14776427,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,37337,74.125.99.135,443,UDP,64,44971,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.10.9,443,192.168.20.102,37450,UDP,57,38145,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.10.8,443,192.168.20.102,42425,UDP,39,21482,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.10.8,443,192.168.20.102,42656,TCP,21,7893,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.10.9,443,192.168.20.102,39618,TCP,21,7829,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,43024,74.125.99.134,443,UDP,380,382849,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
