IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
104.16.208.203,443,192.168.20.101,42466,TCP,132,35237,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
142.251.209.35,80,192.168.20.101,45792,TCP,10,1049,connectivitycheck.gstatic.com. | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,44804,216.58.204.132,443,TCP,18,3076,N/A | www.google.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.132,443,192.168.20.101,46100,UDP,35,28097,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47015,8.8.4.4,443,UDP,42,30679,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,48266,192.178.203.94,443,TCP,47,22052,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,44864,216.58.204.132,443,TCP,18,3076,N/A | www.google.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.35,80,192.168.20.101,45856,TCP,10,1049,connectivitycheck.gstatic.com. | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
142.250.180.132,443,192.168.20.101,44838,UDP,34,26059,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,46596,8.8.4.4,853,TCP,25,8050,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.16.156.111,443,192.168.20.101,48116,TCP,15,4964,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,42941,8.8.8.8,443,UDP,51,30427,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.19.94,443,192.168.20.101,47605,UDP,26,21978,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.19.94,443,192.168.20.101,39558,TCP,123,25168,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.35,80,192.168.20.101,45908,TCP,10,1049,connectivitycheck.gstatic.com. | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,44920,216.58.204.132,443,TCP,18,3076,N/A | www.google.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.132,443,192.168.20.101,45149,UDP,3991,2969067,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,44964,216.58.204.132,443,TCP,18,3076,N/A | www.google.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.35,80,192.168.20.101,45956,TCP,10,1049,connectivitycheck.gstatic.com. | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,38750,8.8.8.8,443,UDP,236,68426,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,40142,213.209.0.20,443,TCP,28,14157,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,IT-MATRIX-991115
157.240.231.1,443,192.168.20.101,39751,UDP,47,24510,N/A | N/A,N/A | N/A,N/A | N/A,THEFA-3,IP Privato/Riservato
142.251.209.35,80,192.168.20.101,45988,TCP,10,1049,connectivitycheck.gstatic.com. | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,45000,216.58.204.132,443,TCP,18,3076,N/A | www.google.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,46327,192.178.202.100,443,UDP,28,27671,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.162,443,192.168.20.101,43725,UDP,51,28052,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,41833,192.178.203.97,443,UDP,42,22781,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47708,8.8.8.8,443,TCP,34,11859,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,42726,216.239.34.157,443,TCP,68,34198,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,42728,216.239.34.157,443,TCP,36,11597,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47714,8.8.8.8,443,TCP,34,11934,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.35,443,192.168.20.101,49460,UDP,227,208682,connectivitycheck.gstatic.com. | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47716,8.8.8.8,443,TCP,32,11759,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,42734,216.239.34.157,443,TCP,109,72519,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.174,443,192.168.20.101,42669,UDP,43,32663,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.143.170,443,192.168.20.101,43967,UDP,39,31063,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,45917,216.58.204.129,443,UDP,38,22134,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,46624,216.58.204.129,443,UDP,34,18281,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
