IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
108.139.210.73,443,192.168.20.102,34791,UDP,45,35666,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
185.15.58.224,443,192.168.20.102,46266,TCP,192,149394,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.102,47220,8.8.4.4,853,TCP,17,3114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,38139,8.8.8.8,443,UDP,65,31616,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.71,443,192.168.20.102,44932,UDP,233,164808,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
142.250.181.74,443,192.168.20.102,51716,TCP,4,337,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
18.65.82.75,443,192.168.20.102,51912,UDP,31,30047,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,36280,UDP,43,33563,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
185.15.58.240,443,192.168.20.102,58578,TCP,40,12265,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
192.168.20.102,48718,8.8.8.8,443,UDP,217,63813,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.102,44401,UDP,243,144660,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,37091,8.8.8.8,443,UDP,46,33383,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.63,443,192.168.20.102,52895,UDP,43,35820,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.16,443,192.168.20.102,48330,UDP,45,35572,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
13.35.198.99,443,192.168.20.102,36310,TCP,38,12088,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
13.35.198.53,443,192.168.20.102,41650,TCP,41,13088,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
13.35.198.53,443,192.168.20.102,55091,UDP,42,33436,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
13.35.198.53,443,192.168.20.102,45757,UDP,31,29762,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.229.128,443,192.168.20.102,34088,TCP,36,11713,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.106,443,192.168.20.102,42536,TCP,120,97656,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
13.35.198.123,443,192.168.20.102,54622,TCP,36,12397,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.154.161.117,443,192.168.20.102,56396,TCP,43,16578,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.113,443,192.168.20.102,47914,TCP,30,11360,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.58,443,192.168.20.102,40716,TCP,31,11134,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.154.161.117,443,192.168.20.102,56022,UDP,33,30960,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,58650,52.72.150.162,443,TCP,62,15514,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
