IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,47510,216.58.204.227,443,TCP,28,8984,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
192.168.20.101,50692,216.58.209.46,443,TCP,43,16700,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,51178,216.58.209.46,443,UDP,42,30986,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,43042,34.120.195.249,443,TCP,18,4214,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,50698,216.58.209.46,443,TCP,51,24342,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,54638,216.58.209.46,443,UDP,51,40886,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,43050,34.120.195.249,443,TCP,18,4205,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
142.251.143.170,443,192.168.20.101,49052,TCP,21,6608,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.143.170,443,192.168.20.101,49066,TCP,81,34064,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,37678,216.58.209.46,443,UDP,497,359136,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,44903,216.239.38.223,443,UDP,60,41275,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,51886,216.239.38.223,443,TCP,23,10065,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,33452,216.58.205.42,443,TCP,384,360232,N/A | locationhistory-pa.googleapis.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,55905,74.125.99.74,443,UDP,37,21200,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,41836,74.125.99.74,443,TCP,21,7842,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45330,216.239.38.223,443,TCP,35,14035,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,44976,216.58.204.227,443,TCP,15,2884,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
192.168.20.101,45342,216.239.38.223,443,TCP,37,11986,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.170,443,192.168.20.101,48591,UDP,55,40953,playstoregatewayadapter-pa.googleapis.com. | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,45344,216.239.38.223,443,TCP,22,6994,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.138,443,192.168.20.101,47398,UDP,40,31071,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.138,443,192.168.20.101,46752,TCP,40,14189,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,45360,216.239.38.223,443,TCP,35,12376,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,59797,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,24414,8.8.8.8,53,UDP,2,333,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,37422,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
