IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
142.251.209.34,443,192.168.20.102,40550,UDP,38,32735,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.34,443,192.168.20.102,48435,UDP,37,27516,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,57782,216.58.209.35,443,UDP,27,22903,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,59488,216.58.209.35,443,TCP,68,49436,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.162,443,192.168.20.102,57308,UDP,40,23713,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
104.18.24.18,443,192.168.20.102,39172,TCP,28,8781,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,60026,95.100.171.8,443,TCP,31,11531,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
192.168.20.102,41862,23.60.189.41,443,TCP,36,12125,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
172.66.154.88,443,192.168.20.102,38526,TCP,66,24007,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,46446,52.223.40.198,443,TCP,35,12171,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
185.89.211.84,443,192.168.20.102,43830,TCP,27,10936,N/A | N/A,N/A | N/A,N/A | N/A,EUADNEXUS-FR-IB-2,IP Privato/Riservato
192.168.20.102,56481,216.58.204.226,443,UDP,29,25329,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,47076,54.158.175.90,443,TCP,33,12188,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON
192.168.20.102,41882,89.149.192.197,443,TCP,35,13236,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,NL-LEASEWEB-20060223
192.168.20.102,52454,216.58.204.226,443,TCP,39,14384,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,53180,37.252.171.21,443,TCP,31,10452,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,EUADNEXUS-FRA1-IB-1
192.168.20.102,46098,3.121.234.184,443,TCP,34,11175,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,46294,198.47.127.19,443,TCP,43,17876,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GTT-ARIN-BLK7
192.168.20.102,51522,87.248.119.251,443,TCP,38,13701,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,YAHOONET
