================================================================================
UDP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.101:40773       <-> 216.58.205.42:443               25 17 kB          17 12 kB          42 29 kB       599,390304000         2,0360
192.168.20.101:60274       <-> 35.201.112.186:443              18 8.329 bytes       7 2.027 bytes      25 10 kB         0,652400000        23,0782
192.168.20.101:56872       <-> 34.120.195.249:443              16 8.283 bytes       4 1.656 bytes      20 9.939 bytes     2,652400000        23,0701
192.168.20.101:37274       <-> 104.18.12.117:443               12 4.338 bytes       4 5.168 bytes      16 9.506 bytes     0,008793000        12,4537
192.168.20.101:58004       <-> 52.48.192.196:443                0 0 bytes         6 7.752 bytes       6 7.752 bytes   358,294948000         4,0349
142.251.209.42:443         <-> 192.168.20.101:52843             0 0 bytes         4 3.957 bytes       4 3.957 bytes     0,539720000        18,6742
142.251.143.170:443        <-> 192.168.20.101:40839             0 0 bytes         3 2.729 bytes       3 2.729 bytes     2,864492000        16,8712
142.251.143.170:443        <-> 192.168.20.101:56627             0 0 bytes         3 2.724 bytes       3 2.724 bytes     2,998425000        16,2355
================================================================================
