IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
108.139.210.73,443,192.168.20.102,59779,UDP,43,35445,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.75,443,192.168.20.102,44255,UDP,37,33467,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,49406,8.8.4.4,853,TCP,18,3709,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,42671,8.8.4.4,443,UDP,179,58073,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.71,443,192.168.20.102,52760,UDP,244,166570,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,39322,TCP,25,9645,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,43586,UDP,45,35673,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,59102,TCP,17,4784,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.101,443,192.168.20.102,50558,TCP,36,11815,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.229.128,443,192.168.20.102,45472,TCP,35,11696,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.154.161.64,443,192.168.20.102,41023,UDP,51,37874,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.128,443,192.168.20.102,48691,UDP,36,31142,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.53,443,192.168.20.102,44228,TCP,36,11580,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.154.161.64,443,192.168.20.102,33516,TCP,23,9086,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,54926,54.87.43.215,443,TCP,64,15592,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON-2011L
18.154.161.129,443,192.168.20.102,45070,TCP,190,82873,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,51836,63.140.62.172,443,TCP,37,9893,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AS-CLOUD-ENGINEERING
18.154.161.129,443,192.168.20.102,45074,TCP,38,12212,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.64.95,443,192.168.20.102,40384,TCP,38,12971,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.133.38.236,443,192.168.20.102,57354,TCP,35,11543,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,37998,52.2.195.21,443,TCP,43,11651,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
18.65.82.41,443,192.168.20.102,50146,TCP,35,12488,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.41,443,192.168.20.102,50160,TCP,38,14335,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,60415,8.8.4.4,443,UDP,138,62213,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.16,443,192.168.20.102,45800,UDP,168,116736,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,46562,8.8.4.4,443,UDP,41,26991,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.93,443,192.168.20.102,60601,UDP,37,31714,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.16,443,192.168.20.102,51092,UDP,47,35930,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,43060,3.166.81.23,443,TCP,83,59884,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.52,443,192.168.20.102,43536,TCP,178,152698,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,56408,192.178.203.101,443,UDP,36,26918,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
13.35.198.49,443,192.168.20.102,60748,TCP,45,17906,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,40483,216.58.209.36,443,UDP,47,31303,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,57966,216.58.209.36,443,TCP,25,8866,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,33453,216.58.209.36,443,UDP,44,31616,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,54490,216.58.209.36,443,TCP,139,118270,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,46123,8.8.4.4,443,UDP,70,40388,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.71,443,192.168.20.102,53887,UDP,172,118381,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,50611,UDP,45,35707,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,46742,23.35.136.123,443,TCP,83,26463,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,46744,23.35.136.123,443,TCP,39,10625,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
